Entidad federativa,1993,1995,2000,2005,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aguascalientes,122.84,522.63,"3,043.00","3,098.00","1,904.50","5,890.00","6,103.80","2,619.27","6,141.09","3,563.15","2,935.00","2,664.00","2,570.58","1,202.50"
Baja California,13.55,195,398,"4,800.00",0,0,"1,696.00","1,099.81",349.24,745,789,"1,340.50",435,0
Baja California Sur,3.57,72.25,274,509,231,611,970,"1,329.53","2,190.24",929,"1,354.80","2,465.00","1,778.00",0
Campeche,980.3,"2,084.17","12,780.00","2,829.00","2,510.00","7,685.50","11,015.00","7,782.13",880,927.5,683,"1,539.39",938,0
Coahuila,132.29,325,"15,216.00","12,022.00","16,366.00","24,380.00","31,747.00","3,663.58","5,115.35","3,007.00","4,484.00","3,866.00","8,311.00",0
Colima,21.39,"1,108.56","2,345.00","3,837.00","1,424.00","4,263.66","3,893.65","2,483.02","3,581.22","3,540.53","3,137.20","1,468.00",923.2,0
Chiapas,253.6,"3,060.79","12,906.00","7,318.00","8,100.00","8,663.00","24,008.53","10,650.26","16,018.36","12,500.20","11,968.17","9,184.43","1,757.67","2,911.50"
Chihuahua,74.35,"2,519.53","4,378.00","3,389.00","2,717.00","1,543.00","9,469.00","8,431.75","11,335.58","8,600.42","7,981.96","5,842.72","7,113.00","2,812.20"
Ciudad de Méxic,0,336.99,"12,544.00","2,261.00",100,100,100,746.88,324,315,465,617,443,260
Durango,648.43,940.73,"4,258.00","3,773.00","6,611.00","10,001.00","16,990.50","8,332.16","9,344.00","10,365.46","10,612.94","8,017.60","7,701.30","4,948.00"
Guanajuato,42.78,"1,768.00","8,394.00","5,548.00","7,443.00","4,110.50","9,864.48","8,169.12","7,608.41","6,704.50","6,946.00","5,977.00","4,416.15","2,625.00"
Guerrero,736.65,"2,876.52","6,743.00","5,905.00","5,275.13","13,682.99","17,131.99","13,733.70","9,330.00","20,116.00","11,429.00","8,738.80","5,411.60","3,940.50"
Hidalgo,284.54,"2,033.79","3,371.00","3,321.00","3,612.00","4,286.80","5,308.56","4,892.79","5,125.00","5,261.00","5,222.00","4,035.00","1,614.00","1,433.00"
Jalisco,316.36,"4,941.93","13,023.00","10,858.00","4,080.00","4,214.00","19,480.96","18,476.58","7,795.45","4,774.39","4,702.04","4,858.26","3,701.68","2,583.00"
Méxic,734,"6,349.72","18,116.00","15,412.00","2,899.00","2,334.43","5,690.78","12,948.91","15,196.62","10,961.62","11,117.28","8,973.52","5,352.55","2,992.16"
Michoacá,802.11,"10,688.78","16,894.00","10,003.00","5,540.42","9,643.06","8,784.66","13,343.12","15,099.23","8,914.25","8,928.40","6,240.70","4,761.20","4,630.60"
Morelos,981.55,"2,034.05","5,078.00","2,179.00","2,614.00","5,857.00","4,679.00","4,927.38","3,933.50","4,607.00","3,909.20","2,405.10","2,361.60",826
Nayarit,199.02,"1,100.37","3,534.00","3,182.00","5,453.81","8,396.10","14,285.50","7,762.32","10,241.00","9,796.50","9,970.44","4,549.00","4,585.85","3,737.00"
Nuevo Leó,258.16,"1,279.98",569,"10,256.00","2,210.00","10,961.00","12,259.50","2,607.85","2,611.00","2,587.00","4,332.80","5,163.02","6,325.70","1,400.00"
Oaxaca,604.23,"1,188.44","7,484.00","2,663.00","3,302.55","6,540.25","6,758.55","2,959.08","4,338.40","2,290.85","3,661.43","3,243.70","2,638.10","2,020.00"
Puebla,575.33,"1,288.90","7,496.00","9,577.00","2,462.00","14,144.56","22,389.90","13,276.75","10,680.50","7,384.90","8,560.70","6,299.80","3,789.00","2,910.50"
Querétar,64.54,"1,122.81","2,161.00","2,225.00","1,421.00","3,681.50","5,883.40","3,031.75","4,650.00","3,856.00","2,302.00","2,266.50",959,400
Quintana Roo,728.2,"1,964.42","20,386.00","2,278.00",280,"2,030.00","4,634.20","2,886.33","5,175.00","4,800.00","5,181.00","5,223.00","3,405.00",0
San Luis Potosi,111.79,396.14,"9,973.00","7,615.00","11,910.00","16,267.00","35,176.50","8,038.29","4,949.00","5,229.00","4,910.00","2,245.00","2,071.00","1,490.00"
Sinaloa,"1,063.35","1,002.75",848,"2,787.00","6,699.00","7,690.00","9,894.00","2,778.36","3,156.00","3,411.00","2,865.00","2,702.00","1,309.00",250
Sonora,107.15,446.94,"1,132.00","8,146.00","2,176.10","2,997.80","4,159.00","7,761.75","4,905.03","9,051.00","15,255.45","15,257.00","6,704.00",0
Tabasco,"1,571.86","1,252.25","3,271.00","1,083.00","3,590.00","2,760.30","12,085.31","7,257.95","5,038.50","5,541.70","6,539.10","1,009.00","2,483.60",0
Tamaulipas,31.91,695.32,"21,571.00","2,799.00","1,766.00","2,846.50","2,874.97","1,309.18","1,533.94","1,358.42","1,187.16",757.5,"1,105.00",500
Tlaxcala,203.25,871.05,"1,757.00","1,816.00","2,618.00","4,092.00","4,081.00","3,393.96","3,450.00","2,985.00","3,661.50","1,272.00","1,492.00",503
